Name,Position,School,Report
Chase Young,Edge,Ohio State ,"Young is a tall, long and athletic defensive end. As a pass rusher, he explodes off the ball and gains ground in a hurry. He uses a quick swipe move and also has the ability to control the wrists of blockers. He can convert speed to power and is effective on loops and games. He does have a little tightness at the top of his rush. Against the run, he sets the edge easily and uses his quickness to slip blocks and create chaos behind the line of scrimmage. Overall, Young is an All-Pro talent, reminiscent of Julius Peppers and Mario Williams."
Derrick Brown,DT,Auburn ,"Brown has excellent size, power and athleticism for the defensive tackle position. As a pass rusher, he has a quick first step and uses his hands very effectively. He wins with a violent club/swim move, a rip move or a nifty up-and-under counter move. Against the run, he easily holds the point of attack. The Auburn product creates separation from blockers with an explosive punch, which allows him to close quickly and make plays. His effort is consistent. Overall, this is a complete player capable of dominating on all three downs. He'll be a difference maker on Day 1."
Joe Burrow,QB,LSU ,"Burrow has solid size for the position and he possesses many elite qualities. He operates out of the gun in the LSU spread attack and he is extremely accurate, efficient and instinctive. He is very smooth in his drop and he has the ability to process through his reads at a rapid pace. He throws with anticipation and he can naturally layer the ball over and under coverage. He doesn't have top shelf arm strength when driving the ball outside the numbers. He relies more on timing/touch. He doesn't flinch versus pressure when he sees something he likes down the field. If he needs to buy time, he can slide and climb the pocket with excellent feel/awareness. He has a nice burst when he leaves the pocket and he is more than a capable runner. Overall, Burrow lacks special arm strength but his combination of poise, accuracy and toughness is very appealing."
Jeff Okudah,CB,Ohio State ,"Okudah has ideal size, length, twitch and competitiveness for the position. He is very comfortable and effective in both press and off coverage. He is patient in press and very fluid/smooth when he opens up. He does a nice job of staying on top versus vertical routes and he can locate the football down the field. He has the agility to mirror underneath. In off coverage, he explodes out of his plant and he is a dependable open field tackler. This is a very clean player with a very high floor and ceiling."
Mekhi Becton,DT,Louisville ,"Becton is a massive left tackle prospect with a similar size/skill set to former first-rounder Bryant McKinnie. In pass protection, he has surprisingly nimble feet and uses his length to steer defenders. Even when he fails to land his punch, he can absorb rushers with his girth. He needs to improve his awareness versus games up front. He is a dominating run defender and collects knockdowns by the bunches. He latches on and uses his upper strength to torque and toss. He isn't as effective when working in space. Overall, Becton has areas to improve -- mainly balance and awareness -- but he is a rare athlete at this size and his upside is through the roof."
Isaiah Simmons,LB/S,Clemson ,"Simmons is an extremely versatile, athletic defensive chess piece. He is a long, rangy athlete who lined up at linebacker, over the slot and in the deep middle for Clemson, thanks to his diverse and unique skill set. Against the pass, he has terrific range and instincts from the deep middle. He has the speed and agility to match up with top-flight tight ends and backs underneath. He is an explosive blitzer off the edge and in through the middle. Simmons overpowers running backs in protection. Against the run, he takes good angles and his speed allows him to make plays from the back side. He will struggle at times if he has to take on blocks on the edge. Overall, Simmons is built for today's NFL and his role could change week to week, depending on the opponent."
Tua Tagovailoa,QB,Alabama ,"Tua lacks ideal height for the position but he has quick feet, eyes and release. He primarily operates in the gun but he will take some snaps under center. He is very crisp and urgent in his setup. He throws off a firm platform and he spins the ball really well. He always throws with the proper pace on slants and crossers. He doesn't have an overpowering arm but he can still place balls in tight windows. He understands how to hold and manipulate safeties with his eyes. He makes good decisions in the RPO game. He is a nifty runner but he prefers to buy time behind the line and remain in passing mode. He did struggle with identifying some underneath defenders when in the red zone. He is coming off a serious hip injury and that must be factored into his evaluation. Overall, Tua is the ultimate point guard. If he can remain healthy, he has the potential to be one of the NFL's most efficient passers."
Javon Kinlaw,DT,South Carolina ,"Kinlaw is a hulking defensive tackle prospect. As a pass rusher, he has a sudden get-off and he's quick to shoot his hands and drive back blockers. He will also incorporate a push/pull move on occasion. He does need to broaden his arsenal of moves, but there is tremendous upside. Against the run, he easily locks out single blocks, but he gets washed by angle blocks and double teams. His effort is solid. Kinlaw showed out against elite competition, but he played down to the level of lesser opponents. Overall, Kinlaw's best football is in front of him and he has"
CeeDee Lamb,WR,Oklahoma ,"Lamb is a tall, lean wideout with top-tier hands, toughness and production. He lines up inside and outside. He is a smooth, fluid route runner and understands how to set up cornerbacks. He also has a good feel in zone. He attacks the ball when working back to the quarterback and tracks the ball naturally down the field. Lamb doesn't have elite speed, but he can find some extra juice when the ball is in the air. He is at his best after the catch, as he consistently breaks tackles and is also very elusive. Overall, Lamb is a polished player who is equally explosive and reliable."
Jerry Jeudy,WR,Alabama ,"Jeudy is an elite route runner with outstanding burst, body control and awareness. He explodes off the line and uses his quickness to avoid press coverage. His snap at the top of the route is as good as any prospect in the last decade. He has the ability to make plays outside of his frame, but he will have some concentration lapses, which lead to drops. After the catch, he is very slippery and elusive, although he isn't going to break a lot of tackles. Overall, Jeudy is a loose athlete with elite route skills and he should emerge as a high-volume production guy very early in his career."
Henry Ruggs III,WR,Alabama ,"Ruggs has an unbelievable blend of speed and toughness. He lines up outside and in the slot. He ran a lot of slants and take-off routes in Alabama's offense -- and he was special on both. Ruggs boasts world-class speed -- he truly explodes off the line and after the catch. He needs to continue to refine his releases against press (he gives up his chest too often), but not many defenses will want to take that chance against his speed. His hands are good not great and he does allow too many balls into his chest. After the catch, he runs away from most defenders while occasionally running through them. He is outstanding on jet sweeps and also has kick-return value. Overall, Ruggs has Tyreek Hill-type ability. He will be a matchup nightmare every week."
Jedrick Wills,OT,Alabama ,"Wills lined up at right tackle for Alabama. He has average height for the position and he's carrying a little extra weight. An excellent pass protector, Wills is quick out of his stance and he's an easy mover versus speed and counters. He is a natural knee bender and he reworks his hands to maintain leverage/control. He is aware versus games and stunts. In the run game, he is at his best when working up to the second level. He also flashes the ability to roll his hips and uproot defenders over his nose. He's"
Tristan Wirfs,OG,Iowa ,"Wirfs is a big, powerful offensive tackle. In pass protection, he launches out of his stance and hasn't had issues versus outside speed rushers. However, he has experienced issues against inside counter moves. He over-sets and struggles to redirect back inside, allowing too many pressures in the games I studied. When he can land his punch, it's over. His hands are so strong and he has the power base to end the play right there. In the run game, he is very strong and aggressive. He creates a ton of movement, but also will overextend and fall off at times. He's on the ground too much. I love his aggressive demeanor, but he needs to play more under control. Overall, I believe he can survive at tackle, but he'd benefit from playing with neighbors on both sides. I think Wirfs has All-Pro potential at guard."
Xavier McKinney,S,Alabama ,"McKinney was an instinctive safety for the Tide and he also spent some time playing nickel linebacker. When aligned deep, he is fluid in his movement and he's quick to key/read and drive on the football. His range is excellent. While he can effectively locate the ball, he will occasionally lose a 50/50 battle down the field. He is a dependable wrap/drag tackler. He has a very good feel as a blitzer, displaying timing and burst. Overall, McKinney is an intelligent, versatile defender and he should be very effective in multiple roles."
Patrick Queen,LB,LSU ,"Queen is an undersized linebacker with outstanding burst, instincts and coverage ability. Against the pass, he is very fluid in his drops and his change-of-direction ability is excellent. He has good instincts to jump routes and he closes to the flat in a hurry. He is a very dynamic blitzer (see him flat-back an offensive guard in the Texas A&M game). In the run game, he is quick to key/read and shoot gaps. He does get uprooted at times because of his size, but he usually finds a way to beat blockers to spots. Overall, Queen is a high-tempo playmaker at the second level and should impact all three downs."
Justin Jefferson,WR,LSU ,"Jefferson is a tall, slender wideout with off-the-charts production. He lines up in the slot and out wide. He is an outstanding route runner. He does a nice job getting on the toes of cornerbacks and then creating separation out of the break point. He does a lot of work in traffic and will extend and finish before taking hard contact. He can play above the rim down the field and can contort his body to make special catches. He doesn't have elite speed, but he's plenty fast enough. After the catch, he has some wiggle and will fight for extra yards. Overall, Jefferson is a polished receiver and should make an immediate impact at the next level."
D'Andre Swift,RB,Georgia ,"Swift is a compact running back with excellent patience, vision and quickness. On inside runs, he lets things develop before exploding through the line of scrimmage. He has the vision to see and set up second- and third-level defenders. He has make-miss ability in tight quarters, but prefers to drop his shoulder and seek contact. He has enough speed to capture the corner on outside runs. He is a cradle catcher in the passing game, but it's effective. In pass protection, he likes to cut block and he's reliable. Overall, Swift has a similar skill set to"
Jordan Love,QB,Utah State ,"Love has ideal size, arm strength and athletic ability. He operates in the gun and he's very fluid and smooth in his setup. He throws from a variety of platforms and arm angles. The ball jumps out of his hand. He is at his best on skinny post drive throws and over the top deep balls. His decision making was very concerning this season. He forces too many balls into crowds and he doesn't ever give up on a play -- to a fault. His supporting cast isn't very good, but he still fell into too many bad habits. He uses his athletic ability to escape and extend plays, but there are occasions when he fails to climb and reset his feet. Overall, Love is a raw prospect who will need some time to develop. There is risk with him, but the payoff could be huge."
Ross Blacklock,DT,TCU ,"Blacklock is a dynamic interior defensive lineman. As a pass rusher, he launches out of his four-point stance and his bull rush is ferocious. He creates immediate knock-back. He is ultra-twitchy. He flashes a long-arm move where he can jolt, separate and finish. As a run defender, he successfully stacks and sheds single blocks, but he needs to improve his awareness and effectiveness versus double teams, where he gets washed down the line. He does have some durability concerns, but his skill set is special. Overall, Blacklock comes with some risk, but he's worth it. He has the potential to develop into a top-flight interior pass rusher."
Brandon Aiyuk,WR,Arizona State ,"Aiyuk is one of my favorite players in the draft class. He has a solid, muscular frame and plays an aggressive brand of football. He is explosive in his release and he attacks the leverage of cornerbacks before suddenly snapping off his route. Aiyuk doesn't run a wide variety of routes, but he's very efficient and effective. He has strong hands and can finish in traffic. He is at his best after the catch, breaking tackles and making people miss without gearing down. Those skills serve him well as a returner, too. Overall, Aiyuk will need a little time to develop as a complete route runner, but he's a tough, explosive playmaker with added special teams value."
Andrew Thomas,OT,Georgia ,"Thomas is a thick, powerful offensive tackle. In pass protection, he has average foot quickness in his set, but he possesses a powerful punch and strong anchor. He gets in trouble at times because his base is too wide; he lunges and loses balance. He plays with good overall awareness. He is a dominant run blocker. He can uncoil and uproot defenders over his nose and has the strength to wash defenders down the line of scrimmage on down blocks. He is effective working up a level when he can stay on one track, but he struggles to redirect in space. Overall, some teams view Thomas as a guard, but I believe he can hold up at tackle if he improves his balance issues."
Justin Herbert,QB,Oregon ,"Herbert has exceptional size, mobility and arm strength. He has quick feet in his setup and he bounces on his toes once he gets to the top of his drop. His motion can be a little robotic at times but the ball comes out tight with high RPMs. He has a big arm but his placement is a little inconsistent. His front side flies open at times, impacting his accuracy. That can be corrected. He has shown the ability to touch up the ball underneath and makes some impressive throws on the run. He is a very good runner. He builds speed and he is effective on zone reads. The biggest area he needs to improve is his lack of anticipation. He waits too long to cut it loose. According to everyone at Oregon, his work ethic and character are off the charts. Overall, Herbert has some special physical tools, but he needs to play with less caution and learn to embrace an attacking mentality."
A.J. Epenesa,Edge,Iowa ,"Epenesa is a skilled pass rusher with outstanding size, strength and effort. He has average get-off quickness, but he boasts strong hands, can flip his hips and is a reliable finisher. He has a variety of hand techniques, including a violent club move, swipe move and a push/pull move. He also will flash a long-arm move with his inside arm. He has a great feel when an OT is leaning outside, which creates an opening for his up-and-under inside-counter move. Against the run, he can hold the point of attack easily. His effort on the back side is outstanding, but he lacks the burst to make a ton of plays from distance. Overall, Epenesa has a very high floor as a prospect. He should be a consistent 8-to-10-sack performer at the very least."
Laviska Shenault,WR,Colorado ,"Shenault is arguably the best athlete in the entire draft class. He is tall with a thick, muscular build. He lined up everywhere in Colorado's offense -- out wide, in the slot, at running back and he even took snaps as a Wildcat quarterback. Shenault isn't a nuanced route runner, but he is a monster with the ball in his hands. He excels on quick hitters, fly sweeps and vertical routes. He has strong hands and his transition into a running back is immediate after the catch. He steps through tacklers and has a burst to finish. He is very competitive. Overall, Shenault will need time to develop into a fully polished wideout, but he can have an immediate impact for a creative offensive coordinator. He's too big, strong and fast to"
