Name,Position,School,Report
Trevor Lawrence,QB,Clemson,"Lawrence is a tall, long and athletic quarterback. He has a long delivery, but he still gets the ball out quickly and it explodes out of his hand. The Clemson offense features a lot of quick screens and quick hitters. He showed excellent touch and placement on those throws. He can really drive the ball down the field when called upon and he also has the ability to layer the ball (over linebackers/under safeties) in the middle of the field. His overall accuracy is excellent at all three levels. He does need to improve his pocket awareness. He doesn't always feel back-side pressure and needs to speed up his clock versus front-side pressure. Outside of his final game with the Tigers (College Football Playoff semifinal loss to Ohio State), I was impressed with his decision-making. He is a dangerous runner because of his build-up speed and toughness. Overall, Lawrence is ready to start right away and he has the tools to ultimately emerge as a top-five player at his position."
Kyle Pitts,TE,Florida,"Pitts is a long, lean tight end prospect with excellent speed, ball skills and production. He has lined up inline, flexed in the slot and split out wide. He runs routes like a wideout. The former Gator has burst off the line, sets up defenders and explodes out of the break point. He beat upper-echelon SEC cornerbacks on a weekly basis. He builds speed to separate down the seam and tracks the ball naturally down the field. Pitts has an enormous catch radius. He uses his speed to pile up yards after the catch. He showed tremendous improvement as a blocker in 2020. He fits up, doing his best to wrestle and stay attached. He will fall off at times, but the effort is there. Overall, Pitts is a unique talent with the ability to take over a game. He is the definition of a mismatch player."
Ja'Marr Chase,WR,LSU,"Chase is a dominant player on tape. He lined up both outside and in the slot at LSU. He defeats press coverage with a combination of foot quickness and upper-body strength. He creates separation off the line of scrimmage and he can also find another gear when the ball is in the air. He is a clean route runner. He won't gear down in traffic and has very strong hands to pluck and play through contact. He attacks 50/50 balls and consistently wins. Chase is at his best after the catch. He routinely breaks tackles and can make defenders miss, too. He did have a couple drops when the ball was on his back hip but I have no concerns about his hands. Overall, I love Chase's attacking style of play and see him as a faster version of three-time Pro Bowl selectee Anquan Boldin."
Zach Wilson,QB,BYU,"Wilson has average height and a lean/narrow frame for the quarterback position. He's an excellent athlete and generates several wow plays in every game Iâve studied. Wilson has a dynamic throwing motion. He carries the ball low but once his hands separate, the ball comes out in a hurry with a high level of RPMs. He's extremely accurate from a variety of platforms and arm angles. He makes some incredible throws while fading away with both feet off the ground, and he can drive the ball to the boundary from the far hash. He also uses his quickness and creativity to buy time to let his targets uncover. He's effective on designed QB runs, but that part of his game will need to be limited at the next level due to his lack of size. My only real concern with Wilson is durability. He's already been through shoulder surgery (after his freshman season) and he doesn't have an ideal frame. If he can stay healthy, his upside is enormous."
Jaylen Waddle,WR,Alabama,"Waddle is a slightly undersized receiver with extraordinary speed and playmaking ability. He has the ability to line up inside or outside. His acceleration in his release is elite. He destroys the cushions he receives from defenders in a hiccup and can find a second and third gear once the ball is in the air. He's at his best on runaway routes, but he flashes the ability to efficiently gear down and work back downhill. I thought his hands were improved this fall (see: crazy catch versus Missouri in the season opener). He's one of the most talented kickoff and punt returners (just watch the tape of his 2019 performance against Auburn) to enter the NFL over the last decade. Overall, Waddle isn't quite as strong as Tyreek Hill, but he's capable of having the same impact in the NFL."
DeVonta Smith,WR,Alabama,"Smith is a rail-thin wideout with long arms, excellent play speed and outstanding hands. He's a silky-smooth route runner who accelerates into and out of the break point, which creates an unusual amount of separation against quality competition. He has complete faith in his hands, allowing him to run through the ball (without gathering his feet) on underneath and intermediate crossers. His leaping ability and length creates some special high-point grabs. He has a second gear after the catch and surprising toughness to break tackles. He competes as a blocker, too. People inside the Alabama program rave about his character, work ethic and professionalism. Smith should emerge as a high-volume weapon as soon as his cleats hit an NFL field."
Trey Lance,QB,North Dakota State,"Lance has a thick/sturdy frame for the quarterback position. He only started 17 games at North Dakota State, but there is plenty to get excited about. He split his time between under center and in the shotgun. He plays with excellent patience and poise, taking what the defense gives him. He rarely puts the ball in jeopardy (he didn't throw an interception until his final collegiate game). He shows the ability to change ball speed and trajectory underneath, while also displaying the velocity to fit the ball into tight windows on intermediate throws. His deep-ball accuracy needs to improve, though. He has a bad habit of sinking his weight before he throws, which impacts his placement. He is very strong in the pocket, routinely shrugging off rushers and creating plays. He is ultra-competitive on designed QB runs, displaying build-up speed and power. Lance is going to need time to develop, but I'm going to bet on his skill set, competitiveness and decision-making."
Justin Fields,QB,Ohio State,"Fields has good size, excellent arm strength and remarkable athleticism for the quarterback position. He has produced monster numbers both passing and rushing in the Buckeyes' spread system. He is at his best when he throws on time and in rhythm. The ball jumps out of his hand and he can deliver it accurately at all three levels. When the defense takes that initial target away, he's had issues quickly aborting that opportunity, which has made him late on throws and also resulted in sacks. He has shown flashes of quickly getting deeper in his progressions (see: 2021 Sugar Bowl vs. Clemson), but that part of his game is still a work in progress. He's dynamic as a runner. His first step is explosive and he pulls away from defenders with ease. He's also incredibly tough, as evidenced by his performance after getting drilled in the semifinal game against the Tigers. Overall, I think Fields has a chance to be special, but it's going to take some time for him to speed up his clock in the passing game."
Rashawn Slater,OT,Northwestern,"Slater is a slightly undersized tackle prospect. He plays with outstanding knee bend, foot quickness and balance. He explodes out of his stance in the passing game and does an excellent job of re-working his hands to maintain inside position. Slater gives a little ground versus power before dropping his weight and anchoring late. His best trait is his ability to recover when he finds himself in a bad position. In the run game, he plays with quickness and urgency when working up to the second level. He takes great angles and is one of the best I've seen when it comes to cutting off linebackers. He doesn't have elite power to knock back defenders over his nose, but he does a good job of running his feet and staying attached. He has excellent awareness. Overall, Slater might lack ideal length, but it doesn't hinder him and I believe he can excel at left tackle. If a team chooses to play him inside, he should quickly develop into a Pro Bowl guard."
Patrick Surtain II,CB,Alabama,"Surtain has an ideal blend of size, speed and ball skills. He's at his best in press coverage. He doesn't consistently re-route receivers, but he avoids false steps and has plenty of speed to stay on top versus the vertical passing game. He will struggle at times versus smaller/quicker pass catchers. Like most big corners, he lacks top-flight short-area quickness. He has good eyes from off coverage, though. He identifies route combinations and makes aggressive plays on the ball. He is tough to fill versus the run and he's a reliable tackler in the open field. Overall, Surtain is a very similar prospect to Marlon Humphrey when he was coming out of Alabama. I envision similar success for Surtain at the next level."
