Name,Position,School,Report
Bryce Young,QB,Alabama,"Young was an ultra-productive passer for Alabama. The 2021 Heisman Trophy winner has quick feet in his setup and effectively marries his eyes and feet. He remains on balance and delivers the ball accurately to all three levels. He is quick to work through progressions and throws with excellent anticipation. When he has room to step up in the pocket, he can forcefully drive the ball. When his foot space is limited, though, his ball lacks life at times. He can avoid free rushers and extend plays, always keeping his eyes up to capitalize down the field with his arm. He will take the free yards with his legs when necessary, but he's never in run-first mode. His lack of height isn't a major issue, but his narrow frame raises concerns about his durability at the next level. If Young can maintain his health, he should quickly emerge as a quality starting quarterback in the NFL."
Will Anderson Jr.,Edge,Alabama,"Anderson is a long, athletic edge rusher with excellent power and production. Against the pass, he is at his best when he's wide on the edge and has a runway. He can win with his suddenness/speed or transfer that speed into power and run through offensive tackles. He also has a good feel for an up-and-under move when the OT oversets to the outside. He does need to work on escaping when he doesn't win early in the down, as he gets stuck at times. Against the run, he uses his length to stack blocks and make his way to the ball. He has the speed to chase and make plays from the back side. Overall, Anderson isn't a super loose/bendy edge rusher, but his combination of speed, power and instincts should translate into double-digit sacks at the next level."
Bijan Robinson,RB,Texas,"Robinson is a three-down back with excellent size, vision and burst. On inside runs, he is aggressive to press the hole before lowering his pads and exploding through contact. He has the lateral quickness to make defenders miss in tight quarters. On outside runs, he has the speed to capture the corner and is very loose and elusive out in space. In the passing game, he is a fluid route runner out of the backfield, boasting excellent hands. He can contort and adjust to poorly thrown balls. He does need to improve his recognition and technique in pass pro, though; he is late to step up and his anchor gets challenged too often. Overall, Robinson has all of the tools to quickly emerge as a top-tier RB in the NFL."
Tyree Wilson,Edge,Texas Tech,"Wilson is a tall, long edge rusher with excellent explosiveness. Against the pass, he's quick off the ball and uses his length to get into the chest of opposing tackles. He can generate power or use a swooping arm-over to get to the quarterback. If blockers shoot their hands too early, he is very aware and swipes them away to free himself. Once he clears the blocker, he closes in a hurry. Against the run, he can extend his arms and set a firm edge. There are a few occasions where he plays too high and gets washed down the line by angle blocks. His effort is excellent. Overall, Wilson is still improving, but he has all of the tools to develop into a Pro Bowl edge rusher."
Jalen Carter,DT,Georgia,"NFL teams that are considering spending a pick on Carter will need to examine his off-field issues following his March 1 arrest on reckless driving and racing charges. On the field, Carter is a difference maker and must be accounted for on every snap. He has the versatility to line up at any position along the defensive front. Against the pass, he has an explosive first step and understands how to work through the edges of blockers. He jars opponents with his initial strike before clearing his hips and closing in on the quarterback. He has the change-of-direction ability of a player 40-to-50 pounds lighter. He can use pure power to run through single blocks and possesses the quickness to split double teams. Against the run, he is firm and strong at the point of attack and has the range to make plays on the perimeter."
Devon Witherspoon,CB,Illinois,"Witherspoon is a lean, rangy cornerback with outstanding quickness, instincts and ball skills. He is at his best in off coverage, where he is quick to read and drive on the ball. He is a very twitchy athlete and has the utmost trust in his eyes. He is extremely fluid to open up and mirror down the field, possessing enough speed to carry vertical routes. He plays with an attitude and plenty of energy. He is aggressive as a tackler (see: his huge hit vs. Indiana), but will have some fly-by misses. Overall, with his build and ball skills, Witherspoon reminds me of Samari Rolle. I see similar success in his future."
C.J. Stroud,QB,Ohio State,"Stroud is a pure, natural thrower with outstanding production. He has the desired size, arm strength and decision making for the position. He isn't a dynamic athlete in his setup, but he always throws off a firm/strong platform. He has a smooth delivery and throws a beautiful, tight ball. He can layer the ball over linebackers and under safeties. He puts a nice loft on deep balls, making life easy on his pass catchers. His biggest issues arise when he has to move/reset and deliver the ball, as this causes his accuracy to suffer. (The impressive College Football Playoff performance against Georgia is the notable exception in this department.) He is a build-up-speed runner when lanes open up for him to take off. Overall, Stroud is definitely more of a shooter than a scorer. He will have success, provided the pieces are in place in front of him and on the perimeter."
Peter Skoronski,OT,Northwestern,"Skoronski is a steady, reliable tackle prospect. He has the desired height and bulk for the position, but lacks ideal length. In the passing game, he is quick out of his stance and has the ability to kick out and cover up speed rushers on the edge. He plays with knee bend and balance to redirect and stay square versus counter moves. He gives ground initially against power rushers before resettling and anchoring down. In the run game, he plays with leverage and uses a strong inside arm to uproot and displace defenders. He is quick to the second level to wall off linebackers. His overall awareness is excellent. Skoronski isn't on the same level as his former teammate, Rashawn Slater, but he'll be very consistent and stable as a starting OT."
Dalton Kincaid,TE,Utah,"Kincaid is a highly productive tight end with exceptional quickness, route polish and run-after-catch ability. At Utah, he typically lined up flexed in the slot. He is explosive in his release and is a smooth/fluid route runner. He gets up on the toes of defenders before snapping off his route and creating separation. He attacks the ball with his hands and can hold on after taking hard contact. After the catch, he has the burst, wiggle and strength to break tackles. In the run game, he is more of a shield-off blocker than a physical people-mover. Overall, Kincaid is a more explosive version of Zach Ertz coming out of college."
Anthony Richardson,QB,Florida,"Richardson packs elite arm strength and athleticism into a big/physical frame for the position, but he is incredibly raw on tape. He has urgency and explosiveness in his setup, and the ball jumps out of his hand from his three-quarters arm slot. His arm strength is special; he doesn't even need to engage his lower body to make power throws deep down the field. On the flip side, his decision making and accuracy are a roller-coaster ride. He yanks his arm at times, leading to some ugly misfires. He forces too many balls into crowded areas, too. He is electric as a runner, using his burst, agility and power to rack up runs of 60-to-80 yards. In summary, Richardson needs polish, but his upside exceeds everyone in the draft class. He's a low-floor/high-ceiling prospect."
