Name,Position,School,Report
Caleb Williams,QB,USC,"Williams has average height and a thick/muscular build. He is a natural thrower and delivers the ball with accuracy/velocity from a variety of platforms and arm angles. He can power the ball into tight windows while stationary or on the move. He can also finesse the ball when needed. He has lightning-quick hands in the RPO game. Heâs a dynamic runner and makes defenders look silly in space. He can run by you, through you or make you miss. He did fall into some bad habits at USC during the 2023 season. He hunts big plays and always looks to exhaust plays with his legs instead of taking checkdowns. Also, he can get too loose with the ball when creating, swinging it wildly, which leads to fumbles. His creativity makes him special, but he will need to play more on schedule at the next level. Overall, Williams has areas in which he needs to improve, but he has franchise-altering upside."
Marvin Harrison Jr.,WR,Ohio State,"Harrison has ideal size, speed and production. Built like a power forward, he plays with a blend of physicality and explosiveness. He uses his upper-body strength to power through press coverage. He's a smooth/fluid route runner and closes the cushion quickly. He gets on the toes of cornerbacks before sharply breaking off his route. He can tap into another gear when the ball goes up and he tracks over his shoulder with ease. He knows how to use his big frame to wall off and shield defenders. Harrison has a huge catch radius, but he did have some contact drops in traffic this fall. After the catch, he relies on speed and physicality more than elusiveness. Overall, Harrison is a prototypical No. 1 receiver and should enjoy immediate NFL success."
Rome Odunze,WR,Washington,"Odunze is a big, athletic wideout with exceptional hands. He can play outside or in the slot. He is refined and polished in everything he does on the field. He uses a variety of releases at the line of scrimmage and is a clean route runner. He uses his strength to lean into defenders before separating out of the break point. He thrives in traffic, possessing the ability to pluck the football and absorb big shots over the middle of the field. He makes some incredible adjustments on poorly thrown balls. He tracks naturally over his shoulder. After the catch, he is very tough to bring down and has some nifty make-miss ability. He plays with a ton of passion and energy. Overall, Odunze is a complete player and reminds me of Larry Fitzgerald coming out of college."
Malik Nabers,WR,LSU,"Nabers is a dynamic receiver with outstanding competitiveness and production. He explodes off the line in his release, creating immediate separation. He sets up defenders before snapping off his route. He isn't afraid to work in the middle of the field and has strong hands to finish through contact. When working back to the quarterback, he prefers to let the ball travel into his body, but his drops are limited. He can scoop low throws off his shoes and easily adjusts to balls on his back hip. He does a lot of damage on slot fades, where he uses his speed to win early, and he tracks the ball with ease. After the catch, he explodes through tackles and also has a nasty stiff arm. Overall, Nabers is an electric playmaker who reminds me of DJ Moore with the ball in his hands."
Drake Maye,QB,North Carolina,"Maye has prototypical size, athleticism and arm strength. He has quick feet and quick hands, but his delivery can get long at times. Heâs a gifted thrower who drives the ball without much foot space in the pocket (including with defenders hanging on him). He can take pace off the ball on swings and shallow crossers. He has a nice touch on bucket throws down the field. He is athletic to escape and create with his legs and heâs tough to tackle in space. He is ultra-competitive as a runner, something he'll need to dial back a bit at the next level. His pass protection wasnât good last season at North Carolina and there werenât always answers in the route to bail him out, which led to some poor decisions and carelessness with the ball. Overall, Maye has some things to clean up, but he has every ingredient to be a top-tier starter at the game's most important position."
Jayden Daniels,QB,LSU,"Daniels is a tall/lean quarterback with exceptional accuracy, decision-making and speed. He is very poised and comfortable in the pocket. He likes to use a rhythm bounce at the top of his drop before settling his feet into the ground and smoothly transferring his weight to throw. He has an extremely quick release and beautiful throwing motion. He throws with anticipation, touch and accuracy. He flashes the ability to manipulate safeties with his eyes to create separation downfield. When he gets pressured, he doesnât hesitate to explode out of the pocket. He has elite suddenness. He is more of a linear/speed runner than a break-down/make-you-miss type of ball-carrier. He needs to do a better job of protecting himself, though, as he took some huge hits in the games I studied. Overall, Daniels took a massive leap in 2023 and now offers both a high floor and ceiling."
Brock Bowers,TE,Georgia,"Bowers is an undersized tight end with elite speed, strength and playmaking ability. He lined up all over the field at Georgia -- in-line, on the wing, split out and even at running back. He is very sudden in his release, and he uses his upper-body strength to chuck defenders when pressed at the line of scrimmage. He catches a lot of quick-hitters in the flat and heâs a maniac on screens. He attacks the ball in the air and is quick to transition up the field. He has the speed to pull away, but his greatest asset is his tackle-breaking power. He runs through contact without gearing down. He is an effective run blocker when he can get his hands on opponents, but he will get pressed out by longer-armed edge rushers. Overall, Bowers reminds me a lot of George Kittle, and I see him having a similar impact in the NFL."
Joe Alt,OT,Notre Dame,"Alt started at left tackle during all three of his seasons at Notre Dame, boasting exceptional size and length for the position. In pass pro, he plays with a wide base and is very under control. He will mix up his pass sets, occasionally jump-setting and stunning opponents. He has the quickness to kick out and cover up outside speed rushers, while also possessing the length to keep power rushers from getting into his chest. He is always very aware and is a valuable helper when uncovered. In the run game, he gets movement on down blocks, looking to finish to and through the whistle. He takes proper angles to the second level, but he's not elite in space when it comes to adjusting to moving targets. Overall, Alt isn't a rare athlete, but his combination of size, instincts and youth (he'll be 21 for his entire rookie season) is easy to bet on."
Terrion Arnold,CB,Alabama,"Arnold has ideal size, play speed and instincts for the position. He plays both outside and inside at the nickel. He is effective in press and off coverage. He is fluid to open up and mirror in press. He has plenty of speed to stay in phase on deep balls. From off coverage, he has a quick and smooth pedal, and he doesn't waste steps in his plant drive. He is also effective playing with a side turn and anticipating routes before cutting them off. He has outstanding ball skills, and the production (five interceptions and 17 passes defensed in 2023) reflects his ability. He is a physical, face-up tackler. He doesn't miss tackles in space. Overall, I struggled to find much to criticize in Arnold's play, despite his lack of experience at the position, having arrived at Alabama as a highly regarded safety prospect. He has all the tools and traits to be a Pro Bowl-caliber cornerback."
Taliese Fuaga,OT,Oregon State,"Fuaga has outstanding size, power and balance for the position. He lines up at right tackle, but I believe he could play on the left side if necessary. In pass pro, he has quick feet out of his stance and is explosive with his punch. He stuns rushers, stays attached and is always on balance. He is aware versus games and blitzers. In the run game, he is dominant. He uncoils out of his stance to strike and remove defenders over his nose. He creates movement on down blocks and always looks to finish. He is surprisingly nimble to reach and cut off on the back side. He takes good angles working up to the second level and made several de-cleating blocks against linebackers in the games I studied. Overall, I don't see much weakness in Fuaga's game. He has Pro Bowl potential at tackle -- and if needed, could slide inside and play guard."
Troy Fautanu,OT,Washington,"Fautanu is an explosive left tackle prospect for the Huskies. He has average height and a thick, square build with long arms. In pass pro, he is a very easy mover, bends well and has a sharp/jolting punch. He redirects smoothly and is a nasty helper when uncovered. His biggest issue is when he gets overaggressive and loses his balance trying to pummel pass rushers instead of playing with more patience. In the run game, he can get underneath defenders and uproot them at the point of attack. He is very explosive as a puller and on screens, with the ability to get all the way to the third level in a hurry. He does have some starting experience at guard, and some NFL teams will project him inside. Overall, I view Fautanu as a starting tackle with positional flexibility to play all five O-line spots if needed."
Quinyon Mitchell,CB,Toledo,"Mitchell has excellent size, speed and toughness for the position. He is at his best in off-man coverage, where he plays out of a side turn and eyes the quarterback through the wide receiver. He is very situationally aware, settling at the sticks before triggering on the ball. There's a noticeable burst when he drives downhill. He has plenty of speed to turn and carry go routes. He also can quickly restart and recover versus double moves. Occasionally, there is a little tightness when he must flip his hips down the field. He has exceptional ball skills (SEE: his tape from 2022, when he had five interceptions, including a pair of pick-sixes), but he wasn't challenged very often in 2023. I love his desire and physicality against the run. He never hangs on blocks, and he bursts to the ball-carrier before coming to balance and collecting tackles. Overall, Mitchell is a feisty competitor with outstanding speed and a history of ball production."
Dallas Turner,Edge,Alabama,"Turner is a long, athletic edge with excellent production and an intriguing skill set as a pass rusher. He has a quick first step and wins a lot of reps by stabbing with his inside arm and collapsing the offensive tackle's outside shoulder. He can also bend, wrap, flatten and finish once he gets to the top of his rush. He is inconsistent with his pure bull rush. The longer the runway before contact, the more success he finds. Against the run, he can set a physical edge or slip blocks to make plays at the line of scrimmage. His effort is excellent. Overall, Turner has played a pivotal role on the 'Bama defense for three years and he's ready to make an immediate impact at the next level."
Jared Verse,Edge,Florida State,"Verse is a rugged, twitched-up edge rusher with a thick/powerful build. At Florida State, he moved around the defensive front. Against the pass, he explodes off the edge and tries to run right through offensive tackles, doing so in two different ways: 1) He will stutter to get OTs off balance and then charge right through with his hands; or 2) he'll simply bury his head into the blocker's chest and walk him right back to the quarterback. He has also been effective using a chop/swim move and occasional inside counter. He doesn't have elite bend at the top of his rush. When aligned inside, he relies more on his quickness to work the edge of an offensive guard. Against the rush, he is stout at the point of attack. He closes the back door quickly on runs away from him with great speed and effort. Overall, Verse is not only a productive pass rusher -- he's a violent tempo setter for the defense."
Olumuyiwa Fashanu,OT,Penn State,"Fashanu has ideal size, length and strength for the left tackle position. In pass pro, he explodes out of his stance, redirects easily and has strong hands to stab and steer defenders. He can bend his knees and anchor when his eyes are in the right place. However, there are times (SEE: Ohio State tape) where his eyes get him in trouble and he gets uprooted by power rushers. In the run game, he is effective shielding and staying attached, but he could improve his consistency to finish. He is very quick in getting up to the second level. There is a little ankle tightness when he has to adjust in space. Overall, Fashanu is still very young and developing. He has all the tools to be a solid starting left tackle once he cleans up some small areas of his game."
Laiatu Latu,Edge,UCLA,"Latu has ideal size, quickness and instincts for the position. As a pass rusher, he can win with his quick get-off or a variety of hand moves. He has an excellent feel for when offensive tackles overset or underset and adjusts accordingly. He doesn't have elite speed or power, but he wins with technique, bend and savvy. He can corner well at the top of his rush and is an outstanding finisher. Against the run, he's been inconsistent when it comes to setting the edge. He's shown the ability to shoot his hands, leverage blockers and hold the point of attack. However, there are other times his pad level is too high and he gets controlled. His effort is outstanding to chase, against both run and pass. Latu did have serious medical issues while at the University of Washington. Overall, Latu is the most skilled pass rusher in this class and should have an immediate impact at the next level."
Brian Thomas Jr.,WR,LSU,"Thomas is a big, explosive wideout with incredible production, including an FBS-best 17 touchdown catches this past season. He lines up outside and in the slot. He easily defeats press coverage with his quickness. He is very sudden in his release and can find another gear once the ball is up in the air. He is very loose and fluid as a route runner. He has snap at the top of the route and doesn't waste steps. He has a very large catch radius because of his frame, leaping ability and ball skills. After the catch, he has some wiggle to make defenders miss and also boasts home run speed. Overall, Thomas is a big-play machine and has the upside to develop into a No. 1 receiver for his drafting team."
